ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
	Sin Familias								
ç		"87,00"	"-466,53"	"-513,18"	"100,00"	"100,00"	31/08/2025	"-466,53"	"100,00"
001758	Boniato Acomp	"222,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
	REFRESCOS								
000001	COCACOLA	"714,00"	"1.089,55"	"1.198,50"	"9,93"	"9,93"	31/08/2025	"1.089,55"	"100,00"
000002	FANTA NARANJA	"177,00"	"305,50"	"336,05"	"2,78"	"12,71"	31/08/2025	"305,50"	"100,00"
000003	COLA ZERO	"702,00"	"1.296,77"	"1.426,45"	"11,81"	"24,52"	31/08/2025	"1.296,77"	"100,00"
000005	LIMONADA	"3,00"	"0,00"	"0,00"	"0,00"	"24,52"	09/08/2025	"0,00"	"0,00"
000010	RED BULL	"28,00"	"32,73"	"36,00"	"0,30"	"24,82"	31/08/2025	"32,73"	"100,00"
000011	NESTEA LIMÓN	"160,00"	"327,27"	"360,00"	"2,98"	"27,80"	31/08/2025	"-11.032,73"	"-3.371,11"
000013	NESTEA  MARACUYÁ	"119,00"	"254,23"	"279,65"	"2,32"	"30,12"	31/08/2025	"254,23"	"100,00"
000014	SPRITE	"3,00"	"0,00"	"0,00"	"0,00"	"30,12"	31/08/2025	"0,00"	"0,00"
000015	FANTA LIMÓN	"173,00"	"217,82"	"239,60"	"1,98"	"32,10"	30/08/2025	"217,82"	"100,00"
000016	TÓNICA SCHWEPPES	"614,00"	"301,23"	"331,35"	"2,74"	"34,85"	31/08/2025	"301,23"	"100,00"
000018	CASERA	"7,00"	"14,95"	"16,45"	"0,14"	"34,98"	25/08/2025	"14,95"	"100,00"
000020	AQUARIUS LIMÓN	"1.245,00"	"286,27"	"314,90"	"2,61"	"37,59"	31/08/2025	"286,27"	"100,00"
000022	BITTER ROSSO	"7,00"	"14,95"	"16,45"	"0,14"	"37,73"	30/08/2025	"14,95"	"100,00"
000024	AQUARIUS NARANJA	"103,00"	"220,05"	"242,05"	"2,00"	"39,73"	31/08/2025	"220,05"	"100,00"
000025	AGUA MEDIANA	"1,00"	"0,00"	"0,00"	"0,00"	"39,73"	13/08/2025	"0,00"	"0,00"
000546	ZUMO DE Manzana (minute maid)	"1,00"	"2,05"	"2,25"	"0,02"	"39,75"	25/08/2025	"2,05"	"100,00"
000547	ZUMO DE PIÑA	"44,00"	"91,86"	"101,05"	"0,84"	"40,59"	29/08/2025	"91,86"	"100,00"
000548	ZUMO DE MELOCOTÓN	"28,00"	"59,82"	"65,80"	"0,54"	"41,13"	30/08/2025	"59,82"	"100,00"
000549	ZUMO DE TOMATE	"16,00"	"34,18"	"37,60"	"0,31"	"41,44"	24/08/2025	"34,18"	"100,00"
000560	TONICA FEVER	"29,00"	"17,18"	"18,90"	"0,16"	"41,60"	29/08/2025	"17,18"	"100,00"
000567	BATIDO DE CHOCOLATE	"70,00"	"143,18"	"157,50"	"1,30"	"42,90"	31/08/2025	"143,18"	"100,00"
000583	GINGER ALE	"26,00"	"36,32"	"39,95"	"0,33"	"43,24"	30/08/2025	"36,32"	"100,00"
000584	SODA	"3,00"	"0,00"	"0,00"	"0,00"	"43,24"	18/08/2025	"0,00"	"0,00"
000668	TONICA NORDIC BLUE	"1,00"	"0,00"	"0,00"	"0,00"	"43,24"	08/08/2025	"0,00"	"0,00"
000753	AGUA PARA LLEVAR 0.50 L	"732,00"	"1.414,00"	"1.555,40"	"12,88"	"56,12"	31/08/2025	"1.414,00"	"100,00"
001312	COLA ZERO ZERO	"121,00"	"217,91"	"239,70"	"1,99"	"58,10"	31/08/2025	"217,91"	"100,00"
001420	SEVEN UP	"138,00"	"170,91"	"188,00"	"1,56"	"59,66"	31/08/2025	"170,91"	"100,00"
001442	AGUA PERRIER	"4,00"	"0,00"	"0,00"	"0,00"	"59,66"	23/08/2025	"0,00"	"0,00"
001610	Tonica zero	"20,00"	"0,00"	"0,00"	"0,00"	"59,66"	31/08/2025	"0,00"	"0,00"
001791	Bot. Agua Solan Con Gas 33cl	"776,00"	"1.763,64"	"1.940,00"	"16,07"	"75,73"	31/08/2025	"1.763,64"	"100,00"
001792	Bot. Agua Solan 50cl	"1.291,00"	"2.580,00"	"2.838,00"	"23,50"	"99,23"	31/08/2025	"2.580,00"	"100,00"
001837	TÓNICA ZERO SW	"17,00"	"36,32"	"39,95"	"0,33"	"99,56"	30/08/2025	"36,32"	"100,00"
001838	TÓNICA BERRY SW	"16,00"	"34,18"	"37,60"	"0,31"	"99,87"	30/08/2025	"34,18"	"100,00"
001894	Bot. Agua Solan TIEMPO	"7,00"	"14,00"	"15,40"	"0,13"	"100,00"	25/08/2025	"14,00"	"100,00"
	TARTAS Y POSTRES								
000719	GOFRE DE AZUCAR	"25,00"	"95,45"	"105,00"	"6,75"	"6,75"	30/08/2025	"95,45"	"100,00"
000743	TARTA DE ZANAHORIA	"25,00"	"157,95"	"173,75"	"11,18"	"17,93"	30/08/2025	"157,95"	"100,00"
000873	TARTA DE CHOCOLATE	"16,00"	"101,09"	"111,20"	"7,15"	"25,09"	30/08/2025	"101,09"	"100,00"
000896	TARTA DE QUESO	"29,00"	"183,23"	"201,55"	"12,97"	"38,05"	27/08/2025	"183,23"	"100,00"
001260	sirope fresa	"1,00"	"0,00"	"0,00"	"0,00"	"38,05"	15/08/2025	"0,00"	"0,00"
001261	sirope caramelo	"3,00"	"0,00"	"0,00"	"0,00"	"38,05"	22/08/2025	"0,00"	"0,00"
001262	sirope chocolate	"9,00"	"0,00"	"0,00"	"0,00"	"38,05"	31/08/2025	"0,00"	"0,00"
001263	nutella	"50,00"	"0,00"	"0,00"	"0,00"	"38,05"	31/08/2025	"0,00"	"0,00"
001331	CREPES	"51,00"	"194,73"	"214,20"	"13,78"	"51,83"	31/08/2025	"194,73"	"100,00"
001354	TARTA DE SNIKER	"14,00"	"88,45"	"97,30"	"6,26"	"58,09"	31/08/2025	"88,45"	"100,00"
001371	BROWNIE CLASICO	"60,00"	"379,09"	"417,00"	"26,83"	"84,92"	31/08/2025	"379,09"	"100,00"
001430	BROWNIE LOTUS	"27,00"	"170,59"	"187,65"	"12,07"	"96,99"	31/08/2025	"170,59"	"100,00"
001473	ALMENDRA CROCANTI	"16,00"	"8,73"	"9,60"	"0,62"	"97,61"	31/08/2025	"8,73"	"100,00"
001625	dulce de leche	"1,00"	"0,00"	"0,00"	"0,00"	"97,61"	03/08/2025	"0,00"	"0,00"
001627	nata	"15,00"	"0,00"	"0,00"	"0,00"	"97,61"	31/08/2025	"0,00"	"0,00"
001631	NUECES	"20,00"	"10,91"	"12,00"	"0,77"	"98,38"	31/08/2025	"10,91"	"100,00"
001633	platano	"9,00"	"4,91"	"5,40"	"0,35"	"98,73"	31/08/2025	"4,91"	"100,00"
001634	fresa	"28,00"	"15,27"	"16,80"	"1,08"	"99,81"	30/08/2025	"15,27"	"100,00"
001635	VAINILLA VERACRUZ	"3,00"	"2,73"	"3,00"	"0,19"	"100,00"	25/08/2025	"2,73"	"100,00"
	COMIDAS Y SNACKS								
000092	ENSALADA CESAR	"137,00"	"1.737,41"	"1.911,15"	"4,05"	"4,05"	31/08/2025	"1.737,41"	"100,00"
000093	ENSALADA CABRA	"128,00"	"1.623,27"	"1.785,60"	"3,78"	"7,83"	31/08/2025	"1.623,27"	"100,00"
000095	ENSALADA TEMPLADA	"63,00"	"856,23"	"941,85"	"1,99"	"9,82"	31/08/2025	"856,23"	"100,00"
000097	Ingrediente Extra	"3,00"	"2,73"	"3,00"	"0,01"	"9,83"	10/08/2025	"2,73"	"100,00"
000100	SANDWICH CLUB	"217,00"	"2.554,68"	"2.810,15"	"5,95"	"15,78"	31/08/2025	"2.554,68"	"100,00"
000103	POLLO TIKA MASSALA	"91,00"	"1.034,09"	"1.137,50"	"2,41"	"18,18"	31/08/2025	"1.034,09"	"100,00"
000106	MINI-TORTILLA	"115,00"	"726,59"	"799,25"	"1,69"	"19,88"	31/08/2025	"726,59"	"100,00"
000108	MENU INFANTIL	"151,00"	"1.166,82"	"1.283,50"	"2,72"	"22,59"	31/08/2025	"1.166,82"	"100,00"
000109	BURGUER LA CHANCLA	"259,00"	"3.284,59"	"3.613,05"	"7,65"	"30,24"	31/08/2025	"3.284,59"	"100,00"
000111	PETIT FOIE	"57,00"	"463,77"	"510,15"	"1,08"	"31,32"	31/08/2025	"463,77"	"100,00"
000114	SANDWICH VEGANO	"22,00"	"179,00"	"196,90"	"0,42"	"31,74"	29/08/2025	"179,00"	"100,00"
000121	"HUEVOS, PATATAS, SETAS TRUFA"	"67,00"	"849,68"	"934,65"	"1,98"	"33,72"	31/08/2025	"849,68"	"100,00"
000656	BRAVAS	"203,00"	"1.836,23"	"2.019,85"	"4,28"	"37,99"	31/08/2025	"1.836,23"	"100,00"
000727	WOK  POLLO	"156,00"	"1.978,36"	"2.176,20"	"4,61"	"42,60"	31/08/2025	"1.978,36"	"100,00"
000769	TATAKI DE ATÚN	"70,00"	"1.204,09"	"1.324,50"	"2,80"	"45,40"	31/08/2025	"1.204,09"	"100,00"
000771	MINI-BURGUER CASERA TERNERA	"162,00"	"1.023,55"	"1.125,90"	"2,38"	"47,79"	31/08/2025	"1.023,55"	"100,00"
000772	CROQUETAS	"133,00"	"1.565,77"	"1.722,35"	"3,65"	"51,43"	31/08/2025	"1.565,77"	"100,00"
000876	ENSALADILLA RUSA	"117,00"	"1.377,41"	"1.515,15"	"3,21"	"54,64"	31/08/2025	"1.377,41"	"100,00"
001200	TARTAR DE ATUN ROJO	"68,00"	"1.047,82"	"1.152,60"	"2,44"	"57,08"	31/08/2025	"1.047,82"	"100,00"
001214	PAN	"107,00"	"68,09"	"74,90"	"0,16"	"57,24"	31/08/2025	"68,09"	"100,00"
001242	PIMIENTOS DEL PADRON	"93,00"	"587,59"	"646,35"	"1,37"	"58,61"	30/08/2025	"587,59"	"100,00"
001243	SOPA FRIA	"43,00"	"328,05"	"360,85"	"0,76"	"59,37"	31/08/2025	"328,05"	"100,00"
001257	salsa casera	"146,00"	"66,36"	"73,00"	"0,15"	"59,53"	31/08/2025	"66,36"	"100,00"
001259	arroz extra	"10,00"	"27,27"	"30,00"	"0,06"	"59,59"	30/08/2025	"27,27"	"100,00"
001264	ensalada extra	"6,00"	"10,91"	"12,00"	"0,03"	"59,61"	25/08/2025	"10,91"	"100,00"
001343	patatas extra	"72,00"	"196,36"	"216,00"	"0,46"	"60,07"	31/08/2025	"196,36"	"100,00"
001386	ENSALADA REFRESCANTE	"120,00"	"1.521,82"	"1.674,00"	"3,54"	"63,62"	30/08/2025	"1.521,82"	"100,00"
001389	WOK SALMON	"88,00"	"1.196,00"	"1.315,60"	"2,79"	"66,40"	31/08/2025	"1.196,00"	"100,00"
001506	MAYONESA	"87,00"	"15,82"	"17,40"	"0,04"	"66,44"	31/08/2025	"15,82"	"100,00"
001511	KETCHUP	"10,00"	"3,64"	"4,00"	"0,01"	"66,45"	28/08/2025	"3,64"	"100,00"
001601	nachos	"57,00"	"0,00"	"0,00"	"0,00"	"66,45"	30/08/2025	"0,00"	"0,00"
001613	patatas baston	"508,00"	"0,00"	"0,00"	"0,00"	"66,45"	31/08/2025	"0,00"	"0,00"
001617	WOK VEGANO	"33,00"	"315,00"	"346,50"	"0,73"	"67,18"	31/08/2025	"315,00"	"100,00"
001649	NUTELLA	"65,00"	"58,18"	"64,00"	"0,14"	"67,31"	31/08/2025	"58,18"	"100,00"
001660	NACHOS GOURMET	"209,00"	"2.375,00"	"2.612,50"	"5,53"	"72,85"	31/08/2025	"2.375,00"	"100,00"
001711	CRISPY CHICKEN	"147,00"	"1.329,68"	"1.462,65"	"3,10"	"75,94"	31/08/2025	"1.329,68"	"100,00"
001768	COSTILLA DE CERDO	"77,00"	"1.111,05"	"1.222,15"	"2,59"	"78,53"	31/08/2025	"1.111,05"	"100,00"
001798	REBANÁ	"67,00"	"606,05"	"666,65"	"1,41"	"79,94"	31/08/2025	"606,05"	"100,00"
001799	POLLO CAJÚN	"206,00"	"1.863,36"	"2.049,70"	"4,34"	"84,28"	31/08/2025	"1.863,36"	"100,00"
001800	BASTONES DE BONIATO	"192,00"	"1.387,64"	"1.526,40"	"3,23"	"87,51"	31/08/2025	"1.387,64"	"100,00"
001802	CUBIERTA DE CHEDAR	"31,00"	"42,27"	"46,50"	"0,10"	"87,61"	30/08/2025	"42,27"	"100,00"
001803	HUEVO FRITO BURGUER	"55,00"	"75,00"	"82,50"	"0,17"	"87,78"	30/08/2025	"75,00"	"100,00"
001804	LOMO ALTO	"64,00"	"1.218,91"	"1.340,80"	"2,84"	"90,62"	30/08/2025	"1.218,91"	"100,00"
001805	PESCADO PLANCHA	"115,00"	"1.667,50"	"1.834,25"	"3,88"	"94,51"	31/08/2025	"1.667,50"	"100,00"
001813	SUG_2 10.95	"5,00"	"49,77"	"54,75"	"0,12"	"94,62"	31/08/2025	"49,77"	"100,00"
001815	SUG_4 12.95	"2,00"	"23,55"	"25,90"	"0,05"	"94,68"	01/08/2025	"23,55"	"100,00"
001816	SUG_5 13.95	"57,00"	"722,86"	"795,15"	"1,68"	"96,36"	31/08/2025	"722,86"	"100,00"
001817	SUG_6 14.95	"64,00"	"860,05"	"946,05"	"2,00"	"98,36"	28/08/2025	"860,05"	"100,00"
001818	SUG_7 15.95	"10,00"	"145,00"	"159,50"	"0,34"	"98,70"	06/08/2025	"145,00"	"100,00"
001822	Mayonesa Acomp.	"302,00"	"0,00"	"0,00"	"0,00"	"98,70"	31/08/2025	"0,00"	"0,00"
001823	Ketchup Acomp.	"265,00"	"0,00"	"0,00"	"0,00"	"98,70"	31/08/2025	"0,00"	"0,00"
001824	Guacamole Acomp	"166,00"	"0,00"	"0,00"	"0,00"	"98,70"	31/08/2025	"0,00"	"0,00"
001825	S Brava Acomp	"7,00"	"0,00"	"0,00"	"0,00"	"98,70"	31/08/2025	"0,00"	"0,00"
001826	S. Mayo-Miel Acomp.	"12,00"	"0,00"	"0,00"	"0,00"	"98,70"	27/08/2025	"0,00"	"0,00"
001827	Salsa 2.0 Acomp.	"2,00"	"0,00"	"0,00"	"0,00"	"98,70"	21/08/2025	"0,00"	"0,00"
001832	SUG_9 17.95	"33,00"	"538,50"	"592,35"	"1,25"	"99,95"	30/08/2025	"538,50"	"100,00"
001897	barbacoa acomp	"61,00"	"0,00"	"0,00"	"0,00"	"99,95"	31/08/2025	"0,00"	"0,00"
001898	Teriyaki acomp	"16,00"	"0,00"	"0,00"	"0,00"	"99,95"	31/08/2025	"0,00"	"0,00"
001901	Arroz acomp	"93,00"	"0,00"	"0,00"	"0,00"	"99,95"	31/08/2025	"0,00"	"0,00"
001902	Noodles acomp	"179,00"	"0,00"	"0,00"	"0,00"	"99,95"	31/08/2025	"0,00"	"0,00"
001903	Bolsa	"10,00"	"0,91"	"1,00"	"0,00"	"99,96"	21/08/2025	"0,91"	"100,00"
001904	Take Grande	"32,00"	"11,64"	"12,80"	"0,03"	"99,98"	30/08/2025	"11,64"	"100,00"
001905	Take pequeño	"40,00"	"7,27"	"8,00"	"0,02"	"100,00"	31/08/2025	"7,27"	"100,00"
001906	Poco hecho	"8,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/08/2025	"0,00"	"0,00"
001907	Punto menos	"5,00"	"0,00"	"0,00"	"0,00"	"100,00"	23/08/2025	"0,00"	"0,00"
001908	Al Punto	"33,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/08/2025	"0,00"	"0,00"
001909	Punto Más	"7,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/08/2025	"0,00"	"0,00"
001910	Muy Hecho	"4,00"	"0,00"	"0,00"	"0,00"	"100,00"	24/08/2025	"0,00"	"0,00"
001911	Pollo empanado	"124,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001912	Pollo plancha	"25,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/08/2025	"0,00"	"0,00"
001913	Patatas fritas	"123,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001914	Arroz	"25,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/08/2025	"0,00"	"0,00"
001943	CUBIERTOS_PLAYA	"31,00"	"0,00"	"0,00"	"0,00"	"100,00"	27/08/2025	"0,00"	"0,00"
001962	Huevo frito infantil	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/08/2025	"0,00"	"0,00"
	CERVEZAS								
000129	MAHOU 33CL	"1.165,00"	"3.495,00"	"3.844,50"	"19,70"	"19,70"	31/08/2025	"3.495,00"	"100,00"
000131	CORONITAS	"207,00"	"696,27"	"765,90"	"3,92"	"23,62"	31/08/2025	"696,27"	"100,00"
000147	SAN MIGUEL 00	"49,00"	"142,55"	"156,80"	"0,80"	"24,43"	31/08/2025	"142,55"	"100,00"
000578	SAN MIGUEL ESPECIAL	"73,00"	"212,36"	"233,60"	"1,20"	"25,62"	31/08/2025	"212,36"	"100,00"
000630	PACK ALHAMBRA	"59,00"	"440,77"	"484,85"	"2,48"	"28,11"	30/08/2025	"440,77"	"100,00"
000631	PACK MAHOU	"111,00"	"857,73"	"943,50"	"4,83"	"32,94"	30/08/2025	"857,73"	"100,00"
000754	CAÑITA 5 ESTRELLAS	"1.452,00"	"3.498,00"	"3.847,80"	"19,72"	"52,66"	31/08/2025	"3.498,00"	"100,00"
000755	JARRA 5 ESTRELLAS	"755,00"	"3.088,64"	"3.397,50"	"17,41"	"70,06"	31/08/2025	"3.088,64"	"100,00"
000825	CLARA LIMON	"72,00"	"157,69"	"190,80"	"0,89"	"70,95"	31/08/2025	"157,69"	"100,00"
000826	CLARA CASERA	"7,00"	"12,73"	"15,40"	"0,07"	"71,03"	24/08/2025	"12,73"	"100,00"
001218	MAESTRA 33CL	"23,00"	"83,64"	"92,00"	"0,47"	"71,50"	29/08/2025	"83,64"	"100,00"
001313	MAHOU SIN GLUTEN	"68,00"	"216,36"	"238,00"	"1,22"	"72,72"	31/08/2025	"216,36"	"100,00"
001319	CAÑA MAESTRA	"138,00"	"401,45"	"441,60"	"2,26"	"74,98"	31/08/2025	"401,45"	"100,00"
001320	JARRA MAESTRA	"32,00"	"160,00"	"176,00"	"0,90"	"75,88"	30/08/2025	"160,00"	"100,00"
001444	RADLER MAHOU	"91,00"	"244,05"	"268,45"	"1,38"	"77,26"	31/08/2025	"244,05"	"100,00"
001481	SAN MIGUEL MAGNA	"15,00"	"43,64"	"48,00"	"0,25"	"77,50"	28/08/2025	"43,64"	"100,00"
001597	San Miguel 0.0	"40,00"	"116,36"	"128,00"	"0,66"	"78,16"	31/08/2025	"116,36"	"100,00"
001643	JARRA CLARA	"14,00"	"57,27"	"63,00"	"0,32"	"78,48"	30/08/2025	"57,27"	"100,00"
001662	STELLA ARTOIS	"16,00"	"42,91"	"47,20"	"0,24"	"78,72"	28/08/2025	"42,91"	"100,00"
001663	ALHAMBRA 1925	"826,00"	"2.764,91"	"3.041,40"	"15,58"	"94,31"	31/08/2025	"2.764,91"	"100,00"
001664	BUDWAISER	"62,00"	"197,27"	"217,00"	"1,11"	"95,42"	31/08/2025	"197,27"	"100,00"
001665	MAHOU IPA	"4,00"	"16,36"	"18,00"	"0,09"	"95,51"	31/08/2025	"16,36"	"100,00"
001666	FRANZISKANER 	"24,00"	"98,18"	"108,00"	"0,55"	"96,06"	30/08/2025	"98,18"	"100,00"
001667	LEFFE BLONDE	"4,00"	"16,36"	"18,00"	"0,09"	"96,16"	26/08/2025	"16,36"	"100,00"
001697	Caña Llevar	"17,00"	"47,91"	"52,70"	"0,27"	"96,43"	27/08/2025	"47,91"	"100,00"
001808	"MAHOU 0,0 TOSTADA"	"205,00"	"596,36"	"656,00"	"3,36"	"99,79"	31/08/2025	"596,36"	"100,00"
