ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025
001820	MAHOU SIN FILTRAR	"11,00"	"35,00"	"38,50"	"0,20"	"99,98"	24/08/2025	"35,00"	"100,00"
001833	SAN MIGUEL ED. ALUMINIO	"1,00"	"2,91"	"3,20"	"0,02"	"100,00"	07/08/2025	"2,91"	"100,00"
	CAFES E INFUSIONES								
000148	ESPRESSO	"335,00"	"607,27"	"668,00"	"5,76"	"5,76"	31/08/2025	"607,27"	"100,00"
000149	CAFÉ CON LECHE	"1.861,00"	"4.054,18"	"4.459,60"	"38,43"	"44,19"	31/08/2025	"4.054,18"	"100,00"
000150	ESPRESSO MACCHIATO	"10,00"	"20,00"	"22,00"	"0,19"	"44,38"	31/08/2025	"20,00"	"100,00"
000151	CAFÉ HIELO BAYLEIS	"78,00"	"195,00"	"214,50"	"1,85"	"46,23"	31/08/2025	"195,00"	"100,00"
000153	CAPPUCCINO ITALIANO	"245,00"	"576,73"	"634,40"	"5,47"	"51,69"	31/08/2025	"576,73"	"100,00"
000155	COLA CAO	"109,00"	"198,18"	"218,00"	"1,88"	"53,57"	31/08/2025	"198,18"	"100,00"
000156	TÉ	"163,00"	"370,45"	"407,50"	"3,51"	"57,08"	31/08/2025	"370,45"	"100,00"
000157	MENTA POLEO	"12,00"	"27,27"	"30,00"	"0,26"	"57,34"	31/08/2025	"27,27"	"100,00"
000159	MANZANILLA	"12,00"	"27,27"	"30,00"	"0,26"	"57,60"	31/08/2025	"27,27"	"100,00"
000160	leche soja	"76,00"	"6,91"	"7,60"	"0,07"	"57,67"	31/08/2025	"6,91"	"100,00"
000164	TÉ EN LECHE	"12,00"	"30,55"	"33,60"	"0,29"	"57,96"	30/08/2025	"30,55"	"100,00"
000165	TÉ CON CANELA	"3,00"	"8,05"	"8,85"	"0,08"	"58,03"	27/08/2025	"8,05"	"100,00"
000166	TÉ CON LIMÓN	"4,00"	"8,00"	"8,80"	"0,08"	"58,11"	31/08/2025	"8,00"	"100,00"
000167	TÉ CON LECHE	"26,00"	"69,73"	"76,70"	"0,66"	"58,77"	31/08/2025	"69,73"	"100,00"
000168	CHOCOLATE SUIZO	"2,00"	"5,64"	"6,20"	"0,05"	"58,82"	30/08/2025	"5,64"	"100,00"
000170	CAFÉ CON HIELO	"380,00"	"794,55"	"874,00"	"7,53"	"66,35"	31/08/2025	"794,55"	"100,00"
000171	CORTADO	"148,00"	"282,55"	"310,80"	"2,68"	"69,03"	31/08/2025	"282,55"	"100,00"
000173	TAZA DE LECHE	"35,00"	"54,09"	"59,50"	"0,51"	"69,55"	31/08/2025	"54,09"	"100,00"
000174	CHOCOLATE	"8,00"	"21,82"	"24,00"	"0,21"	"69,75"	31/08/2025	"21,82"	"100,00"
000175	CARAJILLO	"21,00"	"55,36"	"60,90"	"0,52"	"70,28"	31/08/2025	"55,36"	"100,00"
000176	AMERICANO	"228,00"	"414,55"	"456,00"	"3,93"	"74,21"	31/08/2025	"414,55"	"100,00"
000528	SHAKERATO	"14,00"	"38,18"	"42,00"	"0,36"	"74,57"	29/08/2025	"38,18"	"100,00"
000529	LATTE MACCHIATO ACARAMELADO	"21,00"	"68,73"	"75,60"	"0,65"	"75,22"	31/08/2025	"68,73"	"100,00"
000530	SHAKERATO CON BAILEYS	"14,00"	"47,09"	"51,80"	"0,45"	"75,67"	31/08/2025	"47,09"	"100,00"
000531	LATTE MACCHIATO ACHOCOLATADO	"9,00"	"29,45"	"32,40"	"0,28"	"75,95"	19/08/2025	"29,45"	"100,00"
000532	ICED CAFÉ	"41,00"	"162,14"	"178,35"	"1,54"	"77,48"	31/08/2025	"162,14"	"100,00"
000534	LATTE MACCHIATO ALMENDRADO	"3,00"	"9,82"	"10,80"	"0,09"	"77,58"	31/08/2025	"9,82"	"100,00"
000535	LATTE MACCHIATO	"57,00"	"160,64"	"176,70"	"1,52"	"79,10"	31/08/2025	"160,64"	"100,00"
000536	IRLANDES	"3,00"	"13,50"	"14,85"	"0,13"	"79,23"	22/08/2025	"13,50"	"100,00"
000538	CALIPSO	"1,00"	"4,50"	"4,95"	"0,04"	"79,27"	16/08/2025	"4,50"	"100,00"
000671	leche sin lactosa	"198,00"	"0,00"	"0,00"	"0,00"	"79,27"	31/08/2025	"0,00"	"0,00"
000782	descafeinado	"90,00"	"0,00"	"0,00"	"0,00"	"79,27"	31/08/2025	"0,00"	"0,00"
001212	TÉ MORUNO	"7,00"	"18,77"	"20,65"	"0,18"	"79,45"	31/08/2025	"18,77"	"100,00"
001250	BOMBON	"16,00"	"36,36"	"40,00"	"0,34"	"79,79"	29/08/2025	"36,36"	"100,00"
001252	CAPPUCCION VIENESSE	"8,00"	"20,36"	"22,40"	"0,19"	"79,99"	29/08/2025	"20,36"	"100,00"
001254	DIABLO VIENESSE	"3,00"	"7,64"	"8,40"	"0,07"	"80,06"	28/08/2025	"7,64"	"100,00"
001255	CAPPUCCINO INFANTIL	"5,00"	"15,91"	"17,50"	"0,15"	"80,21"	30/08/2025	"15,91"	"100,00"
001265	DESCAF. SOBRE	"30,00"	"60,00"	"66,00"	"0,57"	"80,78"	31/08/2025	"60,00"	"100,00"
001291	TE AMERICANO	"1,00"	"2,68"	"2,95"	"0,03"	"80,80"	01/08/2025	"2,68"	"100,00"
001467	BOWL LECHE	"10,00"	"15,45"	"17,00"	"0,15"	"80,95"	28/08/2025	"15,45"	"100,00"
001555	descafeinado	"408,00"	"0,00"	"0,00"	"0,00"	"80,95"	31/08/2025	"0,00"	"0,00"
001556	hielo	"123,00"	"22,36"	"24,60"	"0,21"	"81,16"	31/08/2025	"22,36"	"100,00"
001622	l.almendras	"1,00"	"0,09"	"0,10"	"0,00"	"81,16"	04/08/2025	"0,09"	"100,00"
001624	l.sin lactosa	"1,00"	"0,00"	"0,00"	"0,00"	"81,16"	01/08/2025	"0,00"	"0,00"
001642	RISTRETTO	"12,00"	"20,00"	"22,00"	"0,19"	"81,35"	31/08/2025	"20,00"	"100,00"
001687	BOMBON DOBLE	"35,00"	"92,27"	"101,50"	"0,87"	"82,23"	31/08/2025	"92,27"	"100,00"
001765	L. avena	"143,00"	"13,00"	"14,30"	"0,12"	"82,35"	31/08/2025	"13,00"	"100,00"
001794	ESPRESO DOBLE	"153,00"	"347,73"	"382,50"	"3,30"	"85,65"	31/08/2025	"347,73"	"100,00"
001831	Extra Alcohol	"18,00"	"13,91"	"15,30"	"0,13"	"85,78"	30/08/2025	"13,91"	"100,00"
001835	LECHE Y LECHE	"19,00"	"46,64"	"51,30"	"0,44"	"86,22"	30/08/2025	"46,64"	"100,00"
001836	CORTADO DOBLE	"146,00"	"345,09"	"379,60"	"3,27"	"89,49"	31/08/2025	"345,09"	"100,00"
001864	"CAFE, HIELO Y LECHE"	"470,00"	"1.108,55"	"1.219,40"	"10,51"	"100,00"	31/08/2025	"1.108,55"	"100,00"
001925	Sale	"98,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001930	Nube	"228,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001931	Sombra	"187,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001932	Mitad	"1.039,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001933	Largo	"70,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001934	DOBLE	"80,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001945	Verde	"30,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001946	Supremo	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	02/08/2025	"0,00"	"0,00"
001947	Oolong	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	25/08/2025	"0,00"	"0,00"
001948	English Breakfast	"10,00"	"0,00"	"0,00"	"0,00"	"100,00"	20/08/2025	"0,00"	"0,00"
001949	Groundpowder	"8,00"	"0,00"	"0,00"	"0,00"	"100,00"	26/08/2025	"0,00"	"0,00"
001950	Earl Gray	"13,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001951	Pakistaní Supremo	"9,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001953	Galleta y Especias	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	23/08/2025	"0,00"	"0,00"
001954	Chai	"8,00"	"0,00"	"0,00"	"0,00"	"100,00"	29/08/2025	"0,00"	"0,00"
001955	Caramelo y nueces	"2,00"	"0,00"	"0,00"	"0,00"	"100,00"	26/08/2025	"0,00"	"0,00"
001956	Ayurveda	"9,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/08/2025	"0,00"	"0,00"
001957	Canto del Lama	"3,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/08/2025	"0,00"	"0,00"
001958	Rooibos Pakistani	"18,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/08/2025	"0,00"	"0,00"
001959	Rooibos Manzana Canela	"8,00"	"0,00"	"0,00"	"0,00"	"100,00"	25/08/2025	"0,00"	"0,00"
001960	Rooibos Naranja Choco	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	29/08/2025	"0,00"	"0,00"
001961	Suspiro	"2,00"	"0,00"	"0,00"	"0,00"	"100,00"	27/08/2025	"0,00"	"0,00"
	DESAYUNOS								
001224	americano	"69,00"	"0,00"	"0,00"	"0,00"	"0,00"	31/08/2025	"0,00"	"0,00"
001225	cortado	"38,00"	"0,00"	"0,00"	"0,00"	"0,00"	27/08/2025	"0,00"	"0,00"
001462	CHOCAPIC	"7,00"	"10,18"	"11,20"	"0,10"	"0,10"	28/08/2025	"10,18"	"100,00"
001463	BOWL YOGURT	"115,00"	"207,27"	"228,00"	"1,98"	"2,08"	31/08/2025	"207,27"	"100,00"
001465	BOWL SIN LACTOSA	"2,00"	"3,27"	"3,60"	"0,03"	"2,11"	13/08/2025	"3,27"	"100,00"
001468	FLAKES	"21,00"	"30,55"	"33,60"	"0,29"	"2,40"	29/08/2025	"30,55"	"100,00"
001472	PIPAS	"6,00"	"2,18"	"2,40"	"0,02"	"2,42"	26/08/2025	"2,18"	"100,00"
001479	MIX DE FRUTAS	"46,00"	"20,91"	"23,00"	"0,20"	"2,62"	31/08/2025	"20,91"	"100,00"
001486	CROISSANT	"254,00"	"504,00"	"554,40"	"4,81"	"7,43"	31/08/2025	"504,00"	"100,00"
001487	RUSTICO	"775,00"	"1.052,73"	"1.158,00"	"10,05"	"17,48"	31/08/2025	"1.052,73"	"100,00"
001488	MULTICEREAL	"837,00"	"1.216,00"	"1.337,60"	"11,61"	"29,08"	31/08/2025	"1.216,00"	"100,00"
001489	MOLLETE	"518,00"	"706,36"	"777,00"	"6,74"	"35,83"	31/08/2025	"706,36"	"100,00"
001490	SIN GLUTEN	"75,00"	"136,36"	"150,00"	"1,30"	"37,13"	31/08/2025	"136,36"	"100,00"
001491	MOLDE GRUESO	"94,00"	"153,82"	"169,20"	"1,47"	"38,60"	31/08/2025	"153,82"	"100,00"
001493	ATÚN	"101,00"	"91,82"	"101,00"	"0,88"	"39,47"	31/08/2025	"91,82"	"100,00"
001494	YORK	"104,00"	"65,55"	"72,10"	"0,63"	"40,10"	31/08/2025	"65,55"	"100,00"
001495	JAMÓN IBÉRICO	"370,00"	"840,91"	"925,00"	"8,03"	"48,13"	31/08/2025	"840,91"	"100,00"
001496	BACÓN	"75,00"	"53,82"	"59,20"	"0,51"	"48,64"	31/08/2025	"53,82"	"100,00"
001497	GOUDA	"151,00"	"109,09"	"120,00"	"1,04"	"49,68"	31/08/2025	"109,09"	"100,00"
001498	LOMO AL HORNO	"67,00"	"67,00"	"73,70"	"0,64"	"50,32"	31/08/2025	"67,00"	"100,00"
001499	HUEVO PLANCHA 1H	"227,00"	"206,36"	"227,00"	"1,97"	"52,29"	31/08/2025	"206,36"	"100,00"
001500	YORK + QUESO	"350,00"	"379,64"	"417,60"	"3,62"	"55,91"	31/08/2025	"379,64"	"100,00"
001501	LECHUGA	"124,00"	"11,27"	"12,40"	"0,11"	"56,02"	31/08/2025	"11,27"	"100,00"
001502	CEBOLLA	"49,00"	"8,91"	"9,80"	"0,09"	"56,11"	31/08/2025	"8,91"	"100,00"
001503	TOMATE	"297,00"	"81,00"	"89,10"	"0,77"	"56,88"	31/08/2025	"81,00"	"100,00"
001504	AGUACATE	"514,00"	"420,55"	"462,60"	"4,01"	"60,89"	31/08/2025	"420,55"	"100,00"
001505	ACEITE	"1.354,00"	"615,00"	"676,50"	"5,87"	"66,76"	31/08/2025	"615,00"	"100,00"
001507	EMULSION TOMATE	"1.099,00"	"499,09"	"549,00"	"4,76"	"71,53"	31/08/2025	"499,09"	"100,00"
001508	MANTEQUILLA	"485,00"	"218,64"	"240,50"	"2,09"	"73,61"	31/08/2025	"218,64"	"100,00"
001510	MIEL	"62,00"	"33,27"	"36,60"	"0,32"	"73,93"	31/08/2025	"33,27"	"100,00"
001512	CHERRY	"13,00"	"3,55"	"3,90"	"0,03"	"73,97"	22/08/2025	"3,55"	"100,00"
001516	HUEVO PLANCHA 2H	"33,00"	"75,00"	"82,50"	"0,72"	"74,68"	31/08/2025	"75,00"	"100,00"
001517	REVUELTO 2H	"71,00"	"156,82"	"172,50"	"1,50"	"76,18"	31/08/2025	"156,82"	"100,00"
001518	TORTILLA  2H	"133,00"	"295,45"	"325,00"	"2,82"	"79,00"	31/08/2025	"295,45"	"100,00"
001528	QUESO FRESCO	"159,00"	"130,09"	"143,10"	"1,24"	"80,24"	31/08/2025	"130,09"	"100,00"
001590	UNIVERSAL	"143,00"	"520,00"	"572,00"	"4,96"	"85,20"	31/08/2025	"520,00"	"100,00"
001636	COUNTRY STORE	"23,00"	"33,45"	"36,80"	"0,32"	"85,52"	31/08/2025	"33,45"	"100,00"
001715	PAVO	"176,00"	"144,00"	"158,40"	"1,37"	"86,90"	31/08/2025	"144,00"	"100,00"
001739	BACON + QUESO	"148,00"	"174,91"	"192,40"	"1,67"	"88,57"	31/08/2025	"174,91"	"100,00"
001740	PAVO+QUESO	"161,00"	"190,27"	"209,30"	"1,82"	"90,38"	31/08/2025	"190,27"	"100,00"
001741	MERMELADA	"123,00"	"33,55"	"36,90"	"0,32"	"90,70"	31/08/2025	"33,55"	"100,00"
001784	TORTILLA 1H	"37,00"	"50,45"	"55,50"	"0,48"	"91,18"	31/08/2025	"50,45"	"100,00"
001785	REVUELTO 1H	"30,00"	"40,91"	"45,00"	"0,39"	"91,58"	31/08/2025	"40,91"	"100,00"
001786	Pan Rodaja	"66,00"	"35,45"	"39,00"	"0,34"	"91,91"	31/08/2025	"35,45"	"100,00"
001787	BOWL DE FRUTA	"76,00"	"333,00"	"366,30"	"3,18"	"95,09"	31/08/2025	"333,00"	"100,00"
001788	SIROPE CARAMELO	"1,00"	"0,91"	"1,00"	"0,01"	"95,10"	16/08/2025	"0,91"	"100,00"
001789	SIROPE CHOCOLATE	"1,00"	"0,91"	"1,00"	"0,01"	"95,11"	15/08/2025	"0,91"	"100,00"
001790	SIROPE FRESA	"1,00"	"0,91"	"1,00"	"0,01"	"95,12"	13/08/2025	"0,91"	"100,00"
001806	INTEGRAL	"213,00"	"232,36"	"255,60"	"2,22"	"97,34"	31/08/2025	"232,36"	"100,00"
001807	JAMÓN SERRANO	"307,00"	"279,09"	"307,00"	"2,66"	"100,00"	31/08/2025	"279,09"	"100,00"
001938	Fresa	"66,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001939	Melocotón	"52,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
	HAMACAS								
000211	HAMACA 	"2.183,00"	"12.594,21"	"15.239,00"	"54,45"	"54,45"	31/08/2025	"12.594,21"	"100,00"
000212	CAMA 1/2 DIA	"64,00"	"1.411,57"	"1.708,00"	"6,10"	"60,55"	31/08/2025	"1.411,57"	"100,00"
000213	CAMA 1 DIA	"162,00"	"4.685,95"	"5.670,00"	"20,26"	"80,81"	31/08/2025	"4.685,95"	"100,00"
001849	SOMBRILLA 	"1.077,00"	"4.438,02"	"5.370,00"	"19,19"	"100,00"	31/08/2025	"4.438,02"	"100,00"
	BRANDIES Y COGNACS								
000220	TORRES 10	"3,00"	"20,45"	"22,50"	"63,37"	"63,37"	14/08/2025	"20,45"	"100,00"
000225	TORRES 5	"2,00"	"11,82"	"13,00"	"36,63"	"100,00"	23/08/2025	"11,82"	"100,00"
000914	BOTELLA TORRES 10	"0,53"	"0,00"	"0,00"	"0,00"	"100,00"	14/08/2025	"0,00"	"0,00"
000916	BOTELLA TORRES 5	"0,35"	"0,00"	"0,00"	"0,00"	"100,00"	23/08/2025	"0,00"	"0,00"
	VINOS Y CAVAS								
000229	TINTO DE VERANO	"647,00"	"1.735,14"	"1.908,65"	"18,11"	"18,11"	31/08/2025	"1.735,14"	"100,00"
000232	JUVE Y CAMPS BOTELLA	"10,00"	"209,09"	"230,00"	"2,18"	"20,30"	31/08/2025	"209,09"	"100,00"
000242	JUVE Y CAMPS COPA	"105,00"	"377,05"	"414,75"	"3,94"	"24,23"	31/08/2025	"377,05"	"100,00"
000792	SANGRIA PEQUEÑA	"122,00"	"438,09"	"481,90"	"4,57"	"28,81"	30/08/2025	"438,09"	"100,00"
000793	SANGRIA JARRA	"180,00"	"773,55"	"936,00"	"8,08"	"36,88"	31/08/2025	"773,55"	"100,00"
000892	BOTANI ESPUMOSO	"5,00"	"86,36"	"95,00"	"0,90"	"37,78"	23/08/2025	"86,36"	"100,00"
001317	BOTELLA SEIS+SEIS	"2,00"	"40,00"	"44,00"	"0,42"	"38,20"	22/08/2025	"40,00"	"100,00"
001318	SEIS+SEIS COPA	"26,00"	"91,00"	"100,10"	"0,95"	"39,15"	31/08/2025	"91,00"	"100,00"
001394	JARRA TINTO DE VERANO	"245,00"	"935,45"	"1.029,00"	"9,77"	"48,92"	31/08/2025	"935,45"	"100,00"
001482	COPA ZUMBRAL	"8,00"	"27,64"	"30,40"	"0,29"	"49,20"	24/08/2025	"27,64"	"100,00"
001621	COPA BOTANI ESPUMOSO	"24,00"	"85,09"	"93,60"	"0,89"	"50,09"	30/08/2025	"85,09"	"100,00"
001744	SAN VALENTIN COPA	"1,00"	"3,18"	"3,50"	"0,03"	"50,13"	24/08/2025	"3,18"	"100,00"
001746	CLOE COPA	"24,00"	"79,64"	"87,60"	"0,83"	"50,96"	31/08/2025	"79,64"	"100,00"
001747	CLOE BOTELLA	"5,00"	"88,64"	"97,50"	"0,93"	"51,88"	25/08/2025	"88,64"	"100,00"
001752	TINTO CASA COPA	"36,00"	"126,00"	"138,60"	"1,32"	"53,20"	26/08/2025	"126,00"	"100,00"
001753	TINTO CASA BOTELLA	"1,00"	"20,00"	"22,00"	"0,21"	"53,41"	12/08/2025	"20,00"	"100,00"
001754	CLOE ROSÉ COPA	"64,00"	"209,05"	"229,95"	"2,18"	"55,59"	31/08/2025	"209,05"	"100,00"
001755	CLOE ROSÉ BOTELLA	"8,00"	"141,82"	"156,00"	"1,48"	"57,07"	31/08/2025	"141,82"	"100,00"
001796	VIÑASOL ROSADO Copa.	"4,00"	"11,27"	"12,40"	"0,12"	"57,19"	11/08/2025	"11,27"	"100,00"
001811	MALPASTOR COPA	"41,00"	"127,68"	"140,45"	"1,33"	"58,52"	30/08/2025	"127,68"	"100,00"
001842	3055 JEAN LEÓN BOTELLA	"2,00"	"30,00"	"33,00"	"0,31"	"58,83"	31/08/2025	"30,00"	"100,00"
001843	3055 JEAN LEÓN COPA	"3,00"	"9,55"	"10,50"	"0,10"	"58,93"	06/08/2025	"9,55"	"100,00"
001844	LA MATEO ROSADO BOTELLA	"3,00"	"65,45"	"72,00"	"0,68"	"59,62"	23/08/2025	"65,45"	"100,00"
001845	LA MATEO ROSADO COPA	"2,00"	"5,73"	"6,30"	"0,06"	"59,68"	06/08/2025	"5,73"	"100,00"
001856	Pago de Carraovejas	"2,00"	"109,09"	"120,00"	"1,14"	"60,81"	24/08/2025	"109,09"	"100,00"
001857	La Mateo	"1,00"	"26,36"	"29,00"	"0,28"	"61,09"	22/08/2025	"26,36"	"100,00"
001861	Encaste Crianza	"2,00"	"41,82"	"46,00"	"0,44"	"61,53"	09/08/2025	"41,82"	"100,00"
001868	Las Pisadas Copa	"22,00"	"73,00"	"80,30"	"0,76"	"62,29"	31/08/2025	"73,00"	"100,00"
001870	Dusky Sound copa	"33,00"	"105,00"	"115,50"	"1,10"	"63,38"	31/08/2025	"105,00"	"100,00"
001871	Dusky Sound Botella	"29,00"	"395,45"	"435,00"	"4,13"	"67,51"	23/08/2025	"395,45"	"100,00"
